SUBJECT_ID,NUMBER OF AND,NUMBER OF BYTE,Column1,Number of char[],Number of char[inHEx]
657,4076,1528,1528.5,1529,5F9
658,1315,493,493.125,494,1EE
659,4377,1641,1641.375,1642,66A
660,1638,614,614.25,615,267
661,12614,4730,4730.25,4731,127B
662,1069,400,400.875,401,191
663,2840,1065,1065,1065,429
664,12318,4619,4619.25,4620,120C
665,1164,436,436.5,437,1B5
666,64577,24216,24216.375,24217,5E99
667,4094,1535,1535.25,1536,600
668,1810,678,678.75,679,2A7
669,12067,4525,4525.125,4526,11AE
670,1404,526,526.5,527,20F
671,1541,577,577.875,578,242
672,22345,8379,8379.375,8380,20BC
673,83246,31217,31217.25,31218,79F2
674,3071,1151,1151.625,1152,480
675,3316,1243,1243.5,1244,4DC
676,10934,4100,4100.25,4101,1005
677,14805,5551,5551.875,5552,15B0
678,1009,378,378.375,379,17B
679,1474,552,552.75,553,229
680,6228,2335,2335.5,2336,920
681,2237,838,838.875,839,347
682,2203,826,826.125,827,33B
683,4780,1792,1792.5,1793,701
684,4144,1554,1554,1554,612
685,3043,1141,1141.125,1142,476
686,1287,482,482.625,483,1E3
687,23864,8949,8949,8949,22F5
688,15436,5788,5788.5,5789,169D
689,12029,4510,4510.875,4511,119F
690,3295,1235,1235.625,1236,4D4
691,1838,689,689.25,690,2B2
692,4013,1504,1504.875,1505,5E1
693,1206,452,452.25,453,1C5
694,3738,1401,1401.75,1402,57A
695,1311,491,491.625,492,1EC
696,15294,5735,5735.25,5736,1668
697,3078,1154,1154.25,1155,483
698,19240,7215,7215,7215,1C2F
699,1359,509,509.625,510,1FE
700,1179,442,442.125,443,1BB
701,6002,2250,2250.75,2251,8CB
702,15414,5780,5780.25,5781,1695
703,1081,405,405.375,406,196
704,20775,7790,7790.625,7791,1E6F
705,1766,662,662.25,663,297
706,12134,4550,4550.25,4551,11C7
707,2186,819,819.75,820,334
708,2606,977,977.25,978,3D2
709,6536,2451,2451,2451,993
710,2683,1006,1006.125,1007,3EF
711,1038,389,389.25,390,186
712,1219,457,457.125,458,1CA
713,1284,481,481.5,482,1E2
714,1771,664,664.125,665,299
715,1824,684,684,684,2AC
716,1135,425,425.625,426,1AA
717,17297,6486,6486.375,6487,1957
